timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:37:18.275, 0 %, 0 %, 31
2026/03/04 13:37:18.277, 0 %, 0 %, 27
2026/03/04 13:37:18.278, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:37:28.357, 0 %, 0 %, 41
2026/03/04 13:37:28.360, 0 %, 0 %, 33
2026/03/04 13:37:28.362, 0 %, 0 %, 35
2026/03/04 13:37:28.364, 0 %, 0 %, 35
2026/03/04 13:37:28.365, 0 %, 0 %, 29
2026/03/04 13:37:28.366, 0 %, 0 %, 31
2026/03/04 13:37:28.369, 0 %, 0 %, 27
2026/03/04 13:37:28.370, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
